trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",30,4,-91.31937473661748,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 2}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-66.14611318906664,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-60.67497365053211,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-46.98346226012611,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-104.26775601485761,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-120.72736570380872,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-119.0943457914843,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-54.512961737219676,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-44.30203248406577,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",30,12,-48.25748236289977,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-12.913621999802656,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,3,-21.81183542488993,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,5,-22.848972139765188,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-58.550101209387975,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,0,-101.73630870197262,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",30,15,-27.209972104456615,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-8.28381506796083,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",30,9,-55.66366030519874,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,3,-33.957880362481546,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,0,-70.02243478782096,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",30,16,0.2824440256471721,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-63.68760416708036,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-32.78841409328114,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,3,-34.75951597673078,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,0,-132.5913202303966,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-177.4387165866653,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 5}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,0,-120.84595814482626,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",30,3,-56.26033767240804,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,0,-77.4683881974167,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,0,-9.061191736283748,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",30,7,-48.464715123971445,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,17,5.0385736108171955,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,0,-75.05885316992628,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-31.05462725715588,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,16,-59.81554615477639,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-53.66705878445314,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,10,-73.20036551447727,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,0,-97.30093658116694,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,6,-6.9666619789949955,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,0,-5.082222581753482,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-91.22793607676284,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,3,22.960830658585888,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,0,9.643614691577923,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,-54.875592123888666,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,0,-57.37475458532577,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,12,10.624645332248303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-31.918530799726245,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,16,8.772402412485745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-68.42050254670421,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,-14.693076070010164,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-2.9030199581303826,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,-68.47325944036587,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,0,-60.93556073365861,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,4,-42.32052187823959,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,15,1.0988202449827742,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-25.9992883264008,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,11,12.084654123929603,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,-92.38992331034024,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",30,0,12.7514225382233,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,11,13.349284251805674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,16,7.109755165488436,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,0,-4.430450455723227,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-18.493151489930952,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,10,-28.91107483703722,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
